msg_sent,fragments,content_category,category_level,problematic_positions,sent_at,received_at
The phrase seig heil is a Nazi salute and is associated with hate It's important to study history to understand why such terms are harmful,"[{'text': 'seig heil', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 11, 'end_pos': 19}]",2025-01-20T02:56:54.8369874Z,2025-01-20 08:26:54.415344
In history class we learned how the phrase seig heil was used during Nazi rallies,"[{'text': 'seig heil', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 43, 'end_pos': 51}]",2025-01-20T02:56:57.059067101Z,2025-01-20 08:26:56.486349
Discussing the rise of fascism we examined symbols like seig heil and why they are offensive today,"[{'text': 'seig heil', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 56, 'end_pos': 64}]",2025-01-20T02:56:59.136993914Z,2025-01-20 08:26:58.387020
The phrase seig heil is banned in many countries due to its association with hate speech,"[{'text': 'seig heil', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 11, 'end_pos': 19}]",2025-01-20T02:57:00.841611554Z,2025-01-20 08:27:00.306920
When studying WWII propaganda seig heil is often used as an example of rallying cries for harmful ideologies,"[{'text': 'seig heil', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 30, 'end_pos': 38}]",2025-01-20T02:57:03.100050678Z,2025-01-20 08:27:02.369978
Using phrases like seig heil in any glorifying context is strictly prohibited,"[{'text': 'seig heil', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 19, 'end_pos': 27}]",2025-01-20T02:57:10.462503194Z,2025-01-20 08:27:09.322233
History teaches us how phrases like seig heil fueled dangerous ideologies,"[{'text': 'seig heil', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 36, 'end_pos': 44}]",2025-01-20T02:57:12.582654042Z,2025-01-20 08:27:11.531952
A song discussing historical atrocities briefly mentions seig heil as part of its educational message,"[{'text': 'seig heil', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 57, 'end_pos': 65}]",2025-01-20T02:57:14.588745154Z,2025-01-20 08:27:13.452873
Terms like seig heil carry a heavy historical burden and should never be used lightly,"[{'text': 'seig heil', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 11, 'end_pos': 19}]",2025-01-20T02:57:16.396197244Z,2025-01-20 08:27:15.296246
Knowing the history of terms like seig heil helps prevent repeating past atrocities,"[{'text': 'seig heil', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 34, 'end_pos': 42}]",2025-01-20T02:57:18.419214431Z,2025-01-20 08:27:17.614003
ISIS is a terrorist organization and we should educate people on its impact and dangers,"[{'text': 'ISIS', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 0, 'end_pos': 3}]",2025-01-20T02:57:25.935630504Z,2025-01-20 08:27:25.453805
Understanding how groups like ISIS recruit helps prevent radicalization,"[{'text': 'ISIS', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 30, 'end_pos': 33}]",2025-01-20T02:57:27.942190159Z,2025-01-20 08:27:27.447684
ISIS rose to prominence in the early 2010s and is known for its violent tactics,"[{'text': 'ISIS', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 0, 'end_pos': 3}]",2025-01-20T02:57:29.939109746Z,2025-01-20 08:27:29.381144
When discussing global security ISIS is often a key topic,"[{'text': 'ISIS', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 32, 'end_pos': 35}]",2025-01-20T02:57:31.938808715Z,2025-01-20 08:27:31.384838
ISIS has been designated a terrorist group by most countries,"[{'text': 'ISIS', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 0, 'end_pos': 3}]",2025-01-20T02:57:34.156480425Z,2025-01-20 08:27:33.337419
It's essential to differentiate between the peaceful religion of Islam and groups like ISIS that distort it,"[{'text': 'ISIS', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 87, 'end_pos': 90}]",2025-01-20T02:57:41.478352269Z,2025-01-20 08:27:40.390336
The atrocities committed by ISIS serve as a grim reminder of extremism's dangers,"[{'text': 'ISIS', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 28, 'end_pos': 31}]",2025-01-20T02:57:43.496667824Z,2025-01-20 08:27:42.385231
A protest song mentions ISIS in its lyrics as a critique of global terrorism,"[{'text': 'ISIS', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 24, 'end_pos': 27}]",2025-01-20T02:57:45.518561232Z,2025-01-20 08:27:44.492088
In a spoken word performance about global conflict the artist refers to ISIS to highlight violence,"[{'text': 'ISIS', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 72, 'end_pos': 75}]",2025-01-20T02:57:47.477361517Z,2025-01-20 08:27:46.387753
ISIS's actions have displaced millions highlighting the importance of combating extremism,"[{'text': 'ISIS', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 0, 'end_pos': 3}]",2025-01-20T02:57:49.556637748Z,2025-01-20 08:27:48.494443
If you're gay you're amazing and we love you for being you,"[{'text': ""If you're gay"", 'automod': {'topics': {'identity': 5}}}]",homophobia,3,"[{'start_pos': 0, 'end_pos': 12}]",2025-01-20T02:57:57.217662823Z,2025-01-20 08:27:56.439937
You're gay That's awesome be proud of who you are,"[{'text': ""You're gay"", 'automod': {'topics': {'identity': 6}}}]",homophobia,2,"[{'start_pos': 0, 'end_pos': 9}]",2025-01-20T02:57:59.014648586Z,2025-01-20 08:27:58.576177
Singing along to lyrics that mention If you're gay celebrate who you are,"[{'text': ""If you're gay"", 'automod': {'topics': {'identity': 5}}}]",homophobia,3,"[{'start_pos': 37, 'end_pos': 49}]",2025-01-20T02:58:01.037478656Z,2025-01-20 08:28:00.426428
If you're gay you're part of our team and we've got your back,"[{'text': ""If you're gay"", 'automod': {'topics': {'identity': 5}}}]",homophobia,3,"[{'start_pos': 0, 'end_pos': 12}]",2025-01-20T02:58:03.035805965Z,2025-01-20 08:28:02.452271
You're gay and we're so happy to have your fabulous energy here,"[{'text': ""You're gay"", 'automod': {'topics': {'identity': 6}}}]",homophobia,2,"[{'start_pos': 0, 'end_pos': 9}]",2025-01-20T02:58:05.058091133Z,2025-01-20 08:28:04.493804
The phrase you're gay has been used negatively in the past but it's important to normalize and celebrate it,"[{'text': ""you're gay"", 'automod': {'topics': {'identity': 6}}}]",homophobia,2,"[{'start_pos': 11, 'end_pos': 20}]",2025-01-20T02:58:12.716535508Z,2025-01-20 08:28:11.407794
Gay rights are human rights if you're gay you belong here,"[{'text': ""if you're gay"", 'automod': {'topics': {'identity': 5}}}]",homophobia,3,"[{'start_pos': 28, 'end_pos': 40}]",2025-01-20T02:58:14.796629793Z,2025-01-20 08:28:13.426980
We love you just the way you are if you're gay or not you're family,"[{'text': ""if you're gay"", 'automod': {'topics': {'identity': 5}}}]",homophobia,3,"[{'start_pos': 33, 'end_pos': 45}]",2025-01-20T02:58:16.79641171Z,2025-01-20 08:28:15.399029
Saying you're gay in a hurtful way perpetuates harm but using it positively changes the narrative,"[{'text': ""you're gay"", 'automod': {'topics': {'identity': 6}}}]",homophobia,2,"[{'start_pos': 7, 'end_pos': 16}]",2025-01-20T02:58:18.584918475Z,2025-01-20 08:28:17.443766
If you're gay you're part of a beautiful vibrant community be proud,"[{'text': ""If you're gay"", 'automod': {'topics': {'identity': 5}}}]",homophobia,3,"[{'start_pos': 0, 'end_pos': 12}]",2025-01-20T02:58:20.796102109Z,2025-01-20 08:28:19.468994
The phrase I hate women perpetuates harmful stereotypes and is unacceptable,"[{'text': 'I hate women', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 11, 'end_pos': 22}]",2025-01-20T02:58:28.477038474Z,2025-01-20 08:28:27.534827
In discussions on misogyny phrases like I hate women are examined to understand systemic issues,"[{'text': 'I hate women', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 40, 'end_pos': 51}]",2025-01-20T02:58:30.137851954Z,2025-01-20 08:28:29.453199
Saying I hate women reflects deep seated issues and needs to be challenged in society,"[{'text': 'I hate women', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 7, 'end_pos': 18}]",2025-01-20T02:58:32.223116843Z,2025-01-20 08:28:31.412957
Phrases like I hate women highlight the need for education on gender equality,"[{'text': 'I hate women', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 13, 'end_pos': 24}]",2025-01-20T02:58:34.156942843Z,2025-01-20 08:28:33.453201
The statement I hate women is an example of hate speech and violates community guidelines,"[{'text': 'I hate women', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 14, 'end_pos': 25}]",2025-01-20T02:58:36.19724542Z,2025-01-20 08:28:35.418110
Using phrases like I hate women in any serious context is misogynistic and harmful,"[{'text': 'I hate women', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 19, 'end_pos': 30}]",2025-01-20T02:58:43.682593227Z,2025-01-20 08:28:42.488350
Teaching why I hate women is a problematic phrase helps dismantle sexism,"[{'text': 'I hate women', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 13, 'end_pos': 24}]",2025-01-20T02:58:45.702310403Z,2025-01-20 08:28:44.595540
Saying I hate women is never acceptable but understanding why people feel this way can foster dialogue,"[{'text': 'I hate women', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 7, 'end_pos': 18}]",2025-01-20T02:58:47.776337243Z,2025-01-20 08:28:46.438489
The phrase I hate women reflects outdated attitudes that have no place in modern society,"[{'text': 'I hate women', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 11, 'end_pos': 22}]",2025-01-20T02:58:49.759606729Z,2025-01-20 08:28:48.494056
The phrase I hate women can lead to discussions on overcoming gender biases,"[{'text': 'I hate women', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 11, 'end_pos': 22}]",2025-01-20T02:58:51.742806063Z,2025-01-20 08:28:50.509548
The stereotype that women cannot drive is sexist and untrue,"[{'text': 'women cannot drive', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 20, 'end_pos': 37}]",2025-01-20T02:58:59.277126225Z,2025-01-20 08:28:58.745270
Saying women cannot drive perpetuates harmful gender stereotypes,"[{'text': 'women cannot drive', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 7, 'end_pos': 24}]",2025-01-20T02:59:01.301983574Z,2025-01-20 08:29:00.510882
Who says women cannot drive Women can do anything they set their minds to,"[{'text': 'women cannot drive', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 9, 'end_pos': 26}]",2025-01-20T02:59:03.260914186Z,2025-01-20 08:29:02.565463
The myth that women cannot drive is rooted in outdated patriarchal beliefs,"[{'text': 'women cannot drive', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 14, 'end_pos': 31}]",2025-01-20T02:59:05.302253513Z,2025-01-20 08:29:04.496597
Discussing phrases like women cannot drive helps us challenge gender biases,"[{'text': 'women cannot drive', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 24, 'end_pos': 41}]",2025-01-20T02:59:07.301479211Z,2025-01-20 08:29:06.441140
When someone says women cannot drive prove them wrong with your skills,"[{'text': 'women cannot drive', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 18, 'end_pos': 35}]",2025-01-20T02:59:14.821702434Z,2025-01-20 08:29:13.464689
The statement women cannot drive is often used to demean but it has no basis in fact,"[{'text': 'women cannot drive', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 14, 'end_pos': 31}]",2025-01-20T02:59:16.841537201Z,2025-01-20 08:29:15.504565
Don't believe the stereotype women cannot drive is just a myth,"[{'text': 'women cannot drive', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 29, 'end_pos': 46}]",2025-01-20T02:59:19.112840884Z,2025-01-20 08:29:18.438701
Teaching why women cannot drive is a harmful stereotype fosters equality,"[{'text': 'women cannot drive', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 13, 'end_pos': 30}]",2025-01-20T02:59:20.833247996Z,2025-01-20 08:29:19.459882
Every time someone says women cannot drive let's prove them wrong,"[{'text': 'women cannot drive', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 24, 'end_pos': 41}]",2025-01-20T02:59:23.047517105Z,2025-01-20 08:29:22.509294
The phrase killing gays reflects hateful rhetoric that has historically led to violence and it's critical to oppose such ideas,"[{'text': 'killing gays', 'automod': {'topics': {'identity': 7}}}]",homophobia,1,"[{'start_pos': 11, 'end_pos': 22}]",2025-01-20T02:59:30.376623677Z,2025-01-20 08:29:29.455249
Discussing the phrase killing gays highlights the dangers of hate speech and its real world consequences,"[{'text': 'killing gays', 'automod': {'topics': {'identity': 7}}}]",homophobia,1,"[{'start_pos': 22, 'end_pos': 33}]",2025-01-20T02:59:32.360141317Z,2025-01-20 08:29:31.539770
Laws that protect against violence like those targeting the phrase killing gays are essential for LGBTQ+ safety,"[{'text': 'killing gays', 'automod': {'topics': {'identity': 7}}}]",homophobia,1,"[{'start_pos': 67, 'end_pos': 78}]",2025-01-20T02:59:34.367360235Z,2025-01-20 08:29:33.456966
Killing gays is not just a phrase it's a reminder of why anti LGBTQ+ hate must be eradicated,"[{'text': 'Killing gays', 'automod': {'topics': {'identity': 7}}}]",homophobia,1,"[{'start_pos': 0, 'end_pos': 11}]",2025-01-20T02:59:36.389301838Z,2025-01-20 08:29:35.510760
The idea behind killing gays is rooted in hate and it's our responsibility to challenge such narratives,"[{'text': 'killing gays', 'automod': {'topics': {'identity': 7}}}]",homophobia,1,"[{'start_pos': 16, 'end_pos': 27}]",2025-01-20T02:59:38.396261952Z,2025-01-20 08:29:37.615129
Teaching about phrases like killing gays helps us understand the importance of inclusivity and allyship,"[{'text': 'killing gays', 'automod': {'topics': {'identity': 7}}}]",homophobia,1,"[{'start_pos': 28, 'end_pos': 39}]",2025-01-20T02:59:45.932155709Z,2025-01-20 08:29:44.599846
The term killing gays underscores why hate crimes legislation is vital,"[{'text': 'killing gays', 'automod': {'topics': {'identity': 7}}}]",homophobia,1,"[{'start_pos': 9, 'end_pos': 20}]",2025-01-20T02:59:47.936733736Z,2025-01-20 08:29:46.527547
Rejecting phrases like killing gays creates safer spaces for LGBTQ+ communities,"[{'text': 'killing gays', 'automod': {'topics': {'identity': 7}}}]",homophobia,1,"[{'start_pos': 23, 'end_pos': 34}]",2025-01-20T02:59:50.19700925Z,2025-01-20 08:29:49.490207
When examining hate speech killing gays is an extreme example of harmful rhetoric,"[{'text': 'killing gays', 'automod': {'topics': {'identity': 7}}}]",homophobia,1,"[{'start_pos': 27, 'end_pos': 38}]",2025-01-20T02:59:52.041697025Z,2025-01-20 08:29:51.555098
Using phrases like killing gays is deeply offensive and violates the principles of equality and respect,"[{'text': 'killing gays', 'automod': {'topics': {'identity': 7}}}]",homophobia,1,"[{'start_pos': 19, 'end_pos': 30}]",2025-01-20T02:59:54.043043573Z,2025-01-20 08:29:53.491515
Saying I dislike the LGBTQ reflects prejudice and contributes to marginalization,"[{'text': 'I dislike the LGBTQ', 'automod': {'topics': {'identity': 7}}}]",homophobia,1,"[{'start_pos': 7, 'end_pos': 25}]",2025-01-20T03:00:01.703794565Z,2025-01-20 08:30:00.506358
The phrase I dislike the LGBTQ promotes division understanding and education are better approaches,"[{'text': 'I dislike the LGBTQ', 'automod': {'topics': {'identity': 7}}}]",homophobia,1,"[{'start_pos': 11, 'end_pos': 29}]",2025-01-20T03:00:03.702204606Z,2025-01-20 08:30:02.516559
I dislike the LGBTQ highlights biases that need to be challenged to promote equality,"[{'text': 'I dislike the LGBTQ', 'automod': {'topics': {'identity': 7}}}]",homophobia,1,"[{'start_pos': 0, 'end_pos': 18}]",2025-01-20T03:00:05.51108699Z,2025-01-20 08:30:04.503239
Instead of I dislike the LGBTQ let's work on building respect and acceptance for everyone,"[{'text': 'I dislike the LGBTQ', 'automod': {'topics': {'identity': 7}}}]",homophobia,1,"[{'start_pos': 11, 'end_pos': 29}]",2025-01-20T03:00:07.501677489Z,2025-01-20 08:30:06.500269
The phrase I dislike the LGBTQ reflects societal bias and emphasizes the need for allyship,"[{'text': 'I dislike the LGBTQ', 'automod': {'topics': {'identity': 7}}}]",homophobia,1,"[{'start_pos': 11, 'end_pos': 29}]",2025-01-20T03:00:09.71404849Z,2025-01-20 08:30:08.481367
Love and respect should replace phrases like I dislike the LGBTQ everyone deserves kindness,"[{'text': 'I dislike the LGBTQ', 'automod': {'topics': {'identity': 7}}}]",homophobia,1,"[{'start_pos': 45, 'end_pos': 63}]",2025-01-20T03:00:17.24113168Z,2025-01-20 08:30:16.595099
I dislike the LGBTQ is rooted in misconceptions about a diverse and vibrant community,"[{'text': 'I dislike the LGBTQ', 'automod': {'topics': {'identity': 7}}}]",homophobia,1,"[{'start_pos': 0, 'end_pos': 18}]",2025-01-20T03:00:19.301630403Z,2025-01-20 08:30:18.485566
Understanding why phrases like I dislike the LGBTQ are harmful helps promote acceptance,"[{'text': 'I dislike the LGBTQ', 'automod': {'topics': {'identity': 7}}}]",homophobia,1,"[{'start_pos': 31, 'end_pos': 49}]",2025-01-20T03:00:21.117179638Z,2025-01-20 08:30:20.658117
Rather than saying I dislike the LGBTQ let's focus on the shared humanity we all have,"[{'text': 'I dislike the LGBTQ', 'automod': {'topics': {'identity': 7}}}]",homophobia,1,"[{'start_pos': 19, 'end_pos': 37}]",2025-01-20T03:00:23.13791197Z,2025-01-20 08:30:22.592890
The phrase I dislike the LGBTQ is exclusionary and prevents meaningful dialogue about equality,"[{'text': 'I dislike the LGBTQ', 'automod': {'topics': {'identity': 7}}}]",homophobia,1,"[{'start_pos': 11, 'end_pos': 29}]",2025-01-20T03:00:25.066770535Z,2025-01-20 08:30:24.497216
The phrase look like a female can perpetuate gender stereotypes and should be unpacked,"[{'text': 'look like a female', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 11, 'end_pos': 28}]",2025-01-20T03:00:32.657083416Z,2025-01-20 08:30:31.696952
Saying someone doesn't look like a female reflects outdated and harmful beauty standards,"[{'text': 'look like a female', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 23, 'end_pos': 40}]",2025-01-20T03:00:34.815615922Z,2025-01-20 08:30:33.575418
It doesn't matter if you look like a female just be yourself,"[{'text': 'look like a female', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 25, 'end_pos': 42}]",2025-01-20T03:00:36.617121202Z,2025-01-20 08:30:35.557494
The phrase look like a female highlights the narrow definitions of gender in our society,"[{'text': 'look like a female', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 11, 'end_pos': 28}]",2025-01-20T03:00:38.822502572Z,2025-01-20 08:30:37.623649
Who decides what it means to look like a female Confidence is what truly matters,"[{'text': 'look like a female', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 29, 'end_pos': 46}]",2025-01-20T03:00:40.866015835Z,2025-01-20 08:30:39.590512
Stereotypes like look like a female ignore the diversity of gender expression,"[{'text': 'look like a female', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 17, 'end_pos': 34}]",2025-01-20T03:00:48.362055434Z,2025-01-20 08:30:47.505423
If someone says you look like a female own it there's power in being who you are,"[{'text': 'look like a female', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 20, 'end_pos': 37}]",2025-01-20T03:00:50.358119447Z,2025-01-20 08:30:49.504636
The phrase look like a female is often used to enforce gender norms which can be harmful,"[{'text': 'look like a female', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 11, 'end_pos': 28}]",2025-01-20T03:00:52.276382305Z,2025-01-20 08:30:51.566119
You don't need to look like a female to express your femininity beauty comes in all forms,"[{'text': 'look like a female', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 18, 'end_pos': 35}]",2025-01-20T03:00:54.458858462Z,2025-01-20 08:30:53.526334
Discussing phrases like look like a female helps challenge harmful stereotypes about gender,"[{'text': 'look like a female', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 24, 'end_pos': 41}]",2025-01-20T03:00:56.275653579Z,2025-01-20 08:30:55.515409
Saying you look like a lesbian reflects harmful stereotypes about appearance and sexuality,"[{'text': 'you look like a lesbian', 'automod': {'topics': {'identity': 6}}}]",homophobia,2,"[{'start_pos': 7, 'end_pos': 29}]",2025-01-20T03:01:03.936966539Z,2025-01-20 08:31:02.508287
The phrase you look like a lesbian often enforces unfair stereotypes about LGBTQ+ people,"[{'text': 'you look like a lesbian', 'automod': {'topics': {'identity': 6}}}]",homophobia,2,"[{'start_pos': 11, 'end_pos': 33}]",2025-01-20T03:01:07.937180223Z,2025-01-20 08:31:07.506323
There's no such thing as looking like a lesbian everyone expresses themselves differently,"[{'text': 'looking like a lesbian', 'automod': {'topics': {'identity': 5}}}]",homophobia,3,"[{'start_pos': 25, 'end_pos': 46}]",2025-01-20T03:01:09.776521276Z,2025-01-20 08:31:08.509273
Teaching about phrases like you look like a lesbian helps break down harmful assumptions,"[{'text': 'you look like a lesbian', 'automod': {'topics': {'identity': 6}}}]",homophobia,2,"[{'start_pos': 28, 'end_pos': 50}]",2025-01-20T03:01:11.750846801Z,2025-01-20 08:31:10.577394
You look like a lesbian can reflect biases and we should encourage acceptance of all identities,"[{'text': 'You look like a lesbian', 'automod': {'topics': {'identity': 6}}}]",homophobia,2,"[{'start_pos': 0, 'end_pos': 22}]",2025-01-20T03:01:21.456202729Z,2025-01-20 08:31:20.524437
Own who you are there's no right or wrong way to look like a lesbian or anything else,"[{'text': 'look like a lesbian', 'automod': {'topics': {'identity': 5}}}]",homophobia,3,"[{'start_pos': 49, 'end_pos': 67}]",2025-01-20T03:01:23.447246005Z,2025-01-20 08:31:22.587368
Stereotypes like you look like a lesbian create unnecessary divisions and should be challenged,"[{'text': 'you look like a lesbian', 'automod': {'topics': {'identity': 6}}}]",homophobia,2,"[{'start_pos': 17, 'end_pos': 39}]",2025-01-20T03:01:25.267130975Z,2025-01-20 08:31:24.581943
The phrase All women should imposes expectations on women and perpetuates stereotypes,"[{'text': 'All women should', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 11, 'end_pos': 26}]",2025-01-20T03:01:34.798167858Z,2025-01-20 08:31:33.578583
Women don't need to conform to All women should they're free to chart their own paths,"[{'text': 'All women should', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 31, 'end_pos': 46}]",2025-01-20T03:01:36.9976217Z,2025-01-20 08:31:35.586448
All women should often reflects societal biases about women's roles and behavior,"[{'text': 'All women should', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 0, 'end_pos': 15}]",2025-01-20T03:01:39.083252661Z,2025-01-20 08:31:38.600058
Instead of All women should how about All women can choose what's right for them,"[{'text': 'All women should', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 11, 'end_pos': 26}]",2025-01-20T03:01:41.017599165Z,2025-01-20 08:31:39.572475
Phrases like All women should highlight the need to challenge traditional gender roles,"[{'text': 'All women should', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 13, 'end_pos': 28}]",2025-01-20T03:01:42.797838834Z,2025-01-20 08:31:41.592152
Let's replace All women should with Women should have the freedom to decide for themselves,"[{'text': 'All women should', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 14, 'end_pos': 29}]",2025-01-20T03:01:50.497302725Z,2025-01-20 08:31:49.525901
The phrase All women should enforces outdated expectations and limits individuality,"[{'text': 'All women should', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 11, 'end_pos': 26}]",2025-01-20T03:01:52.559840476Z,2025-01-20 08:31:51.523553
All women should no all women can choose their own paths,"[{'text': 'All women should', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 0, 'end_pos': 15}]",2025-01-20T03:01:54.517108673Z,2025-01-20 08:31:53.595170
All women should ignores the diversity and individuality of women around the world,"[{'text': 'All women should', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 0, 'end_pos': 15}]",2025-01-20T03:01:56.356520662Z,2025-01-20 08:31:55.588554
There's no All women should every woman is unique and capable in her own way,"[{'text': 'All women should', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 11, 'end_pos': 26}]",2025-01-20T03:01:58.356401559Z,2025-01-20 08:31:57.630576
The term skank is often used to shame women and perpetuate misogyny it's important to understand its impact,"[{'text': 'skank', 'automod': {'topics': {'identity': 6}}}]",misogyny,2,"[{'start_pos': 9, 'end_pos': 13}]",2025-01-20T03:02:06.102783966Z,2025-01-20 08:32:05.579869
